segment_id,segment_description,road_name,lga,region,district,start_lat,start_lon,gda_x,gda_y
1938,SUNNYSIDE TRUCK BAY,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.395950214285715,151.69227828571428,4806171.759485714,9750909.654557142
1940,COMATAWA CREEK - END CONCRETE,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-33.7694757125,148.936961478125,4439106.31689375,9483696.522028126
1944,MIDDLE GATE RD NB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.1617549,152.8217795,4715941.6617,9854619.6668
1945,VARUNA,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.499849946153844,151.85184315384615,4793893.060769231,9765567.662238462
1949,MIDDLE GATE RD SB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.154173466666666,152.82160306666665,4716781.627266667,9854649.679833332
1950,ALLOOMBA / STOCK UNDERPASS,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-35.325871199999995,148.61859998235295,4267888.2023117645,9447717.87517647
1954,STUMPY CR NB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.1333751,152.8244883,4719068.0479,9855052.7544
1955,TILBUSTER CUT,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.36525985,151.666191825,4809683.9643,9748556.490825
1959,STUMPY CR SB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.136693933333333,152.82391373333334,4718703.8055,9854977.5595
1960,KEAJURA CREEK NO 3,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-32.916393528571426,150.06244501142857,4531112.492262857,9590518.851205714
1965,HEATHERBRAE,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.426331440000002,151.77653081,4802389.34335,9758756.95686
1970,TILBUSTER PONDS SOUTH,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-33.09626958846154,150.46154264999998,4509789.262623077,9627155.681353847
1971,"20M NORTH HOUSE NO 84,",LAWRENCE HARGRAVE DR,WOLLONGONG,South,Russell Vale M3Ed3,-34.2271622,150.9841515,4384720.7227,9666708.1332
1975,TILBUSTER PONDS NORTH,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.37843447222222,151.72857696666668,4807925.583594445,9754431.010544444
1978,PARKES,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.332123179999996,151.6668457,4813352.16102,9748783.41466
1980,KILGOWLAH CK,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-35.50074782105263,148.45517882894737,4248662.699276316,9432469.31543158
1981,TRUCK STOPPING BED,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.327615268421052,151.67325967894737,4813823.993757895,9749422.157736843
